date,mkt_cap
10/8/3,131800
10/8/4,132610
10/8/5,130590
10/8/6,130990
10/8/9,131990
10/8/10,133190
10/8/11,128610
10/8/12,130220
10/8/13,129260
10/8/16,128850
10/8/17,130780
10/8/18,129420
10/8/19,128850
10/8/20,127970
10/8/23,129420
10/8/24,127170
10/8/25,128530
10/8/26,127810
10/8/27,129340
10/8/30,127490
10/8/31,127890
10/9/1,130860
10/9/2,131830
10/9/3,132310
10/9/7,131270
10/9/8,133110
10/9/9,134800
10/9/10,136570
10/9/13,136410
10/9/14,137290
10/9/15,138840
10/9/16,137980
10/9/17,137150
10/9/20,138860
10/9/21,137780
10/9/22,138420
10/9/23,136970
10/9/24,139870
10/9/27,138020
10/9/28,140070
10/9/29,139870
10/9/30,138020
10/10/1,138100
10/10/4,135850
10/10/5,138510
10/10/6,138180
10/10/7,139710
10/10/8,140350
10/10/11,139710
10/10/12,140500
10/10/13,142520
10/10/14,141960
10/10/15,142680
10/10/18,143080
10/10/19,139790
10/10/20,141960
10/10/21,141710
10/10/22,140670
10/10/25,141630
10/10/26,140590
10/10/27,138900
10/10/28,141230
10/10/29,139990
10/11/1,141630
10/11/2,140270
10/11/3,141390
10/11/4,139710
10/11/5,138100
10/11/8,136580
10/11/9,136090
10/11/10,134800
10/11/11,136010
10/11/12,134970
10/11/15,134170
10/11/16,132970
10/11/17,132000
10/11/18,134810
10/11/19,134550
10/11/22,133210
10/11/23,132720
10/11/24,133700
10/11/26,132080
10/11/29,132640
10/11/30,130560
10/12/1,133780
10/12/2,133690
10/12/3,133930
10/12/6,134650
10/12/7,134330
10/12/8,133930
10/12/9,134230
10/12/10,136330
10/12/13,137690
10/12/14,137050
10/12/15,136810
10/12/16,137930
10/12/17,136410
10/12/20,137530
10/12/21,139210
10/12/22,140650
10/12/23,141060
10/12/27,140090
10/12/28,140900
10/12/29,140980
10/12/30,140090
10/12/31,140290
11/1/3,141650
11/1/4,144120
11/1/5,145100
11/1/6,145660
11/1/7,146940
11/1/10,146300
11/1/11,145980
11/1/12,147180
11/1/13,145980
11/1/14,146940
11/1/18,147260
11/1/19,146780
11/1/20,146140
11/1/21,147090
11/1/24,147820
11/1/25,147980
11/1/26,147100
11/1/27,148060
11/1/28,145420
11/1/31,145980
11/2/1,153990
11/2/2,151910
11/2/3,153590
11/2/4,154630
11/2/7,152550
11/2/8,153510
11/2/9,152630
11/2/10,152470
11/2/11,150850
11/2/14,152630
11/2/15,152630
11/2/16,154470
11/2/17,155190
11/2/18,153750
11/2/22,151030
11/2/23,149990
11/2/24,151110
11/2/25,150790
11/2/28,153830
11/3/1,305900
11/3/2,306700
11/3/3,315970
11/3/4,314210
11/3/7,313420
11/3/8,314530
11/3/9,314210
11/3/10,309420
11/3/11,311180
11/3/14,316610
11/3/15,315810
11/3/16,308460
11/3/17,317730
11/3/18,322530
11/3/21,319250
11/3/22,318690
11/3/23,318370
11/3/24,324440
11/3/25,325240
11/3/28,323960
11/3/29,325720
11/3/30,325040
11/3/31,324600
11/4/1,325720
11/4/4,328280
11/4/5,326840
11/4/6,324280
11/4/7,324920
11/4/8,327000
11/4/11,330360
11/4/12,327000
11/4/13,327000
11/4/14,327490
11/4/15,328120
11/4/18,326040
11/4/19,328120
11/4/20,325880
11/4/21,316290
11/4/25,321890
11/4/26,322690
11/4/27,329720
11/4/28,332910
11/4/29,335150
11/5/2,335950
11/5/3,326680
11/5/4,329880
11/5/5,325880
11/5/6,328440
11/5/9,162760
11/5/10,164820
11/5/11,162840
11/5/12,165050
11/5/13,165290
11/5/16,165770
11/5/17,167030
11/5/18,167350
11/5/19,166160
11/5/20,163470
11/5/23,162680
11/5/24,162130
11/5/25,164190
11/5/26,165130
11/5/27,165370
11/5/31,169480
11/6/1,166320
11/6/2,165920
11/6/3,164660
11/6/6,163870
11/6/7,163870
11/6/8,163400
11/6/9,163950
11/6/10,158890
11/6/13,161660
11/6/14,162610
11/6/15,159520
11/6/16,159920
11/6/17,160080
11/6/20,160160
11/6/21,161420
11/6/22,160230
11/6/23,163160
11/6/24,158650
11/6/27,159370
11/6/28,162370
11/6/29,163320
11/6/30,162760
11/7/1,163950
11/7/5,164190
11/7/6,164190
11/7/7,159840
11/7/8,159290
11/7/11,158340
11/7/12,158020
11/7/13,157940
11/7/14,157310
11/7/15,156050
11/7/18,155180
11/7/19,157550
11/7/20,157230
11/7/21,158810
11/7/22,158580
11/7/25,156520
11/7/26,155100
11/7/27,152490
11/7/28,152970
11/7/29,152090
11/8/1,150200
11/8/2,143330
11/8/3,142460
11/8/4,137160
11/8/5,138190
11/8/8,129980
11/8/9,137320
11/8/10,133030
11/8/11,138960
11/8/12,139350
11/8/15,143090
11/8/16,142860
11/8/17,144260
11/8/18,138180
11/8/19,137860
11/8/22,137940
11/8/23,142310
11/8/24,143480
11/8/25,140130
11/8/26,142080
11/8/29,147300
11/8/30,147300
11/8/31,148080
11/9/1,147540
11/9/2,144030
11/9/6,145510
11/9/7,148320
11/9/8,146840
11/9/9,142620
11/9/12,142350
11/9/13,143010
11/9/14,143640
11/9/15,144260
11/9/16,141610
11/9/19,140910
11/9/20,142310
11/9/21,139190
11/9/22,136460
11/9/23,136150
11/9/26,138640
11/9/27,138490
11/9/28,137010
11/9/29,140280
11/9/30,137940
11/10/3,135210
11/10/4,137240
11/10/5,140280
11/10/6,142230
11/10/7,143870
11/10/10,147620
11/10/11,147070
11/10/12,146840
11/10/13,146370
11/10/14,148550
11/10/17,145820
11/10/18,148010
11/10/19,146760
11/10/20,146130
11/10/21,148710
11/10/24,151050
11/10/25,147230
11/10/26,150430
11/10/27,153430
11/10/28,154640
11/10/31,150270
11/11/1,150820
11/11/2,152380
11/11/3,155110
11/11/4,153390
11/11/7,154280
11/11/8,154350
11/11/9,148670
11/11/10,152130
11/11/11,153660
11/11/14,152130
11/11/15,152740
11/11/16,150430
11/11/17,149670
11/11/18,150130
11/11/21,145740
11/11/22,145280
11/11/23,141820
11/11/25,141820
11/11/28,146740
11/11/29,149130
11/11/30,154280
11/12/1,153970
11/12/2,152890
11/12/5,152510
11/12/6,155510
11/12/7,157350
11/12/8,155200
11/12/9,158040
11/12/12,156740
11/12/13,159580
11/12/14,160350
11/12/15,162500
11/12/16,161660
11/12/19,162500
11/12/20,164960
11/12/21,166650
11/12/22,166270
11/12/23,167810
11/12/27,167350
11/12/28,165500
11/12/29,166880
11/12/30,166350
12/1/3,166420
12/1/4,164910
12/1/5,163620
12/1/6,163390
12/1/9,165290
12/1/10,166200
12/1/11,165890
12/1/12,166570
12/1/13,165440
12/1/17,166160
12/1/18,166420
12/1/19,165440
12/1/20,165890
12/1/23,164450
12/1/24,164070
12/1/25,164530
12/1/26,163850
12/1/27,162710
12/1/30,163470
12/1/31,162100
12/2/1,161420
12/2/2,159910
12/2/3,160590
12/2/6,158700
12/2/7,159450
12/2/8,159150
12/2/9,160140
12/2/10,159450
12/2/13,161350
12/2/14,161570
12/2/15,159910
12/2/16,161570
12/2/17,160510
12/2/21,159970
12/2/22,161020
12/2/23,158540
12/2/24,159670
12/2/27,160270
12/2/28,159940
12/2/29,159230
12/3/1,161980
12/3/2,161380
12/3/5,162050
12/3/6,160280
12/3/7,161070
12/3/8,161720
12/3/9,161900
12/3/12,162360
12/3/13,165900
12/3/14,165300
12/3/15,165150
12/3/16,165370
12/3/19,164920
12/3/20,164320
12/3/21,164090
12/3/22,163790
12/3/23,164470
12/3/26,167030
12/3/27,169590
12/3/28,168910
12/3/29,168990
12/3/30,170690
12/4/2,170270
12/4/3,169890
12/4/4,168730
12/4/5,168390
12/4/9,166200
12/4/10,165710
12/4/11,165450
12/4/12,165180
12/4/13,164690
12/4/16,165670
12/4/17,168160
12/4/18,169220
12/4/19,168350
12/4/20,170040
12/4/23,168690
12/4/24,170570
12/4/25,172460
12/4/26,173810
12/4/27,173960
12/4/30,172610
12/5/1,171700
12/5/2,170800
12/5/3,170350
12/5/4,168690
12/5/7,168110
12/5/8,167880
12/5/9,168110
12/5/10,170950
12/5/11,169610
12/5/14,169120
12/5/15,166990
12/5/16,169530
12/5/17,168930
12/5/18,169010
12/5/21,168780
12/5/22,167510
12/5/23,167510
12/5/24,165790
12/5/25,165710
12/5/29,166090
12/5/30,165040
12/5/31,163770
12/6/1,162040
12/6/4,161820
12/6/5,161740
12/6/6,164070
12/6/7,164290
12/6/8,165790
12/6/11,165487.8078
12/6/12,166161.7401
12/6/13,166161.7401
12/6/14,168932.3504
12/6/15,169306.7572
12/6/18,169381.6386
12/6/19,170055.5708
12/6/20,169756.0454
12/6/21,169231.8759
12/6/22,170167.8929
12/6/25,168258.4182
12/6/26,167996.3334
12/6/27,169306.7572
12/6/28,168707.7063
12/6/29,172227.1303
12/7/2,172189.6971
12/7/3,171253.6726
12/7/5,169756.0454
12/7/6,168782.5877
12/7/9,169606.2827
12/7/10,168033.7741
12/7/11,167284.9605
12/7/12,169756.0454
12/7/13,170804.3844
12/7/16,173200.588
12/7/17,176869.7747
12/7/18,177244.1815
12/7/19,178180.1985
12/7/20,177468.8256
12/7/23,176720.012
12/7/24,175035.1813
12/7/25,174698.2152
12/7/26,175858.8838
12/7/27,178404.8501
12/7/30,177543.7069
12/7/31,180014.7918
12/8/1,179265.9782
12/8/2,179116.2155
12/8/3,181811.9445
12/8/6,181209.6721
12/8/7,177325.5407
12/8/8,177997.7942
12/8/9,178296.5735
12/8/10,178819.4374
12/8/13,177176.151
12/8/14,179118.2167
12/8/15,179566.3857
12/8/16,179416.9961
12/8/17,177699.0148
12/8/20,178595.3529
12/8/21,176952.0665
12/8/22,177026.7613
12/8/23,177325.5407
12/8/24,179342.3012
12/8/27,178445.9632
12/8/28,178147.1839
12/8/29,178968.8271
12/8/30,178072.489
12/8/31,178221.8787
12/9/4,177586.9726
12/9/5,178670.0477
12/9/6,181807.2308
12/9/7,181060.2825
12/9/10,180014.5548
12/9/11,180537.4186
12/9/12,179790.4703
12/9/13,181134.9773
12/9/14,177773.7097
12/9/17,179416.9961
12/9/18,179342.3012
12/9/19,180462.7238
12/9/20,182330.0947
12/9/21,183114.3905
12/9/24,184869.7191
12/9/25,185541.9726
12/9/26,185467.2778
12/9/27,186438.3107
12/9/28,185616.6675
12/10/1,186998.5219
12/10/2,187633.428
12/10/3,189127.3248
12/10/4,189351.4093
12/10/5,190621.2215
12/10/8,189724.8834
12/10/9,189052.6299
12/10/10,187932.2074
12/10/11,187633.428
12/10/12,187633.428
12/10/15,190994.6957
12/10/16,192712.6769
12/10/17,193011.4562
12/10/18,194468.0055
12/10/19,192413.8975
12/10/22,191218.7802
12/10/23,188156.2919
12/10/24,189052.6299
12/10/25,191293.475
12/10/26,189948.9679
12/10/31,185766.0571
12/11/1,183375.8224
12/11/2,183375.8224
12/11/5,180972.0566
12/11/6,181929.1912
12/11/7,177953.4015
12/11/8,177879.7758
12/11/9,177953.4015
12/11/12,177511.6471
12/11/13,177069.8927
12/11/14,175302.875
12/11/15,174199.9615
12/11/16,175671.0037
12/11/19,177732.5243
12/11/20,178763.2846
12/11/21,179278.6647
12/11/23,180603.928
12/11/26,180272.6195
12/11/27,178542.4074
12/11/28,181634.6882
12/11/29,182959.9515
12/11/30,184211.589
12/12/3,184726.9691
12/12/4,185279.1695
12/12/5,188776.3845
12/12/6,188555.5073
12/12/7,188187.3787
12/12/10,187082.9926
12/12/11,188776.3845
12/12/12,187819.25
12/12/13,186493.9868
12/12/14,185389.6007
12/12/17,186678.0511
12/12/18,188776.3845
12/12/19,186641.2382
12/12/20,187230.2441
12/12/21,184653.3434
12/12/24,184653.3434
12/12/26,185831.3551
12/12/27,185095.0978
12/12/28,183254.4544
12/12/31,182476.9868
13/1/2,188521.16
13/1/3,188084.6
13/1/4,188884.96
13/1/7,189030.48
13/1/8,189321.52
13/1/9,192595.72
13/1/10,194705.76
13/1/11,192959.52
13/1/14,194560.24
13/1/15,193687.12
13/1/16,193614.36
13/1/17,195215.08
13/1/18,193105.04
13/1/22,194123.68
13/1/23,193905.4
13/1/24,195360.6
13/1/25,196452
13/1/28,195287.84
13/1/29,201545.2
13/1/30,200162.76
13/1/31,198489.28
13/2/1,201035.88
13/2/4,197688.92
13/2/5,200162.76
13/2/6,198780.32
13/2/7,196160.96
13/2/8,195578.88
13/2/11,197470.64
13/2/12,196379.24
13/2/13,196452
13/2/14,196888.56
13/2/15,198562.04
13/2/19,201617.96
13/2/20,200599.32
13/2/21,197052.1867
13/2/22,196836.5148
13/2/25,192954.4214
13/2/26,194320.3432
13/2/27,196958.502
13/2/28,196671.0763
13/3/1,196814.7892
13/3/4,198970.4824
13/3/5,201701.0271
13/3/6,202060.3093
13/3/7,203138.1559
13/3/8,202563.3044
13/3/11,202994.443
13/3/12,200766.8934
13/3/13,201341.7449
13/3/14,201988.4528
13/3/15,201341.7449
13/3/18,201485.4578
13/3/19,201126.1756
13/3/20,203281.8688
13/3/21,201988.4528
13/3/22,203928.5767
13/3/25,202347.735
13/3/26,205509.4184
13/3/27,205796.8442
13/3/28,207377.6858
13/4/1,207233.973
13/4/2,210036.3741
13/4/3,208599.2453
13/4/4,209533.379
13/4/5,209102.2404
13/4/8,209533.379
13/4/9,209174.0968
13/4/10,214994.4685
13/4/11,220168.1322
13/4/12,220383.7015
13/4/15,218802.8598
13/4/16,222323.8254
13/4/17,221820.8303
13/4/18,219808.85
13/4/19,223186.1026
13/4/22,222251.9689
13/4/23,223329.8155
13/4/24,219880.7064
13/4/25,217437.5874
13/4/26,216216.028
13/4/29,218659.1469
13/4/30,208886.6711
13/5/1,207665.1116
13/5/2,210323.7999
13/5/3,208096.2502
13/5/6,203717.3732
13/5/7,205916.2724
13/5/8,203788.3054
13/5/9,202866.1864
13/5/10,203717.3732
13/5/13,208327.9683
13/5/14,208540.765
13/5/15,209675.6807
13/5/16,207476.7815
13/5/17,205419.7468
13/5/20,202788.5662
13/5/21,203353.8305
13/5/22,207028.0484
13/5/23,205685.5457
13/5/24,205190.9394
13/5/28,204978.9653
13/5/29,199820.9286
13/5/30,199608.9545
13/5/31,192401.8348
13/6/3,196076.0527
13/6/4,195440.1303
13/6/5,194168.2857
13/6/6,198619.742
13/6/7,199679.6126
13/6/10,200456.851
13/6/11,200810.1412
13/6/12,200880.7992
13/6/13,205473.5716
13/6/14,205544.2296
13/6/17,206038.8359
13/6/18,207734.6288
13/6/19,205614.8877
13/6/20,202329.289
13/6/21,201092.7733
13/6/24,195793.4205
13/6/25,197771.8456
13/6/26,198549.084
13/6/27,199114.3483
13/6/28,197913.1616
13/7/1,196288.0268
13/7/2,195722.7625
13/7/3,195369.4723
13/7/5,197630.5295
13/7/8,198761.0581
13/7/9,200315.5349
13/7/10,200951.4572
13/7/11,203283.1724
13/7/12,203565.8046
13/7/15,203424.4885
13/7/16,202647.2501
13/7/17,202647.2501
13/7/18,201304.7474
13/7/19,205544.2296
13/7/22,207381.3386
13/7/23,207875.9449
13/7/24,206886.7323
13/7/25,206250.81
13/7/26,207522.6547
13/7/29,208723.8413
13/7/30,209642.3958
13/7/31,206533.4422
13/8/1,205685.5457
13/8/2,207522.6547
13/8/5,193246.5541
13/8/6,194239.5991
13/8/7,193709.9751
13/8/8,192849.3361
13/8/9,193378.9601
13/8/12,193246.5541
13/8/13,193776.1781
13/8/14,192187.3061
13/8/15,190664.6371
13/8/16,187817.9082
13/8/19,188413.7352
13/8/20,188877.1561
13/8/21,186957.2692
13/8/22,186427.6452
13/8/23,187619.2992
13/8/26,185500.8032
13/8/27,185335.3023
13/8/28,186758.6602
13/8/29,186030.4272
13/8/30,186758.6602
13/9/3,185434.6002
13/9/4,187817.9082
13/9/5,187155.8782
13/9/6,187222.0812
13/9/9,187354.4872
13/9/10,188347.5322
13/9/11,189803.9981
13/9/12,187420.6902
13/9/13,188744.7501
13/9/16,190068.8101
13/9/17,189605.3891
13/9/18,192253.5091
13/9/19,190929.4491
13/9/20,191790.0881
13/9/23,190664.6371
13/9/24,190068.8101
13/9/25,188612.3442
13/9/26,188810.9531
13/9/27,191194.2611
13/9/30,190168.1146
13/10/1,191260.4641
13/10/2,192054.9001
13/10/3,190466.0281
13/10/4,191988.6971
13/10/7,189472.9831
13/10/8,186957.2692
13/10/9,187288.2842
13/10/10,190466.0281
13/10/11,190135.0131
13/10/14,194305.8021
13/10/15,193047.9451
13/10/16,197284.937
13/10/17,200330.275
13/10/18,201985.3499
13/10/21,201257.117
13/10/22,203110.8009
13/10/23,202581.1769
13/10/24,202647.3799
13/10/25,202647.3799
13/10/28,203508.0189
13/10/29,206884.3719
13/10/30,204765.8759
13/10/31,203143.9024
13/11/1,206354.7479
13/11/4,202598.2732
13/11/5,202468.6518
13/11/6,200718.7627
13/11/7,200329.8984
13/11/8,202987.1375
13/11/11,202468.6518
13/11/12,203376.0017
13/11/13,206551.7264
13/11/14,207394.2656
13/11/15,208690.4798
13/11/18,207459.0763
13/11/19,205190.7015
13/11/20,206875.7799
13/11/21,207199.8335
13/11/22,208171.9941
13/11/25,208301.6155
13/11/26,206681.3478
