date,mkt_cap
10/8/3,78990
10/8/4,80650
10/8/5,80390
10/8/6,80010
10/8/9,80130
10/8/10,79350
10/8/11,76960
10/8/12,77040
10/8/13,76350
10/8/16,76190
10/8/17,76620
10/8/18,76930
10/8/19,75820
10/8/20,76430
10/8/23,75660
10/8/24,74220
10/8/25,74600
10/8/26,73120
10/8/27,72060
10/8/30,70460
10/8/31,70600
10/9/1,72050
10/9/2,72070
10/9/3,75950
10/9/7,74870
10/9/8,76070
10/9/9,76900
10/9/10,77540
10/9/13,79600
10/9/14,78650
10/9/15,78660
10/9/16,78490
10/9/17,77850
10/9/20,78320
10/9/21,78060
10/9/22,76350
10/9/23,74720
10/9/24,75940
10/9/27,75280
10/9/28,74770
10/9/29,74470
10/9/30,73960
10/10/1,75550
10/10/4,74970
10/10/5,76510
10/10/6,77260
10/10/7,77300
10/10/8,78090
10/10/11,77850
10/10/12,79390
10/10/13,79150
10/10/14,77540
10/10/15,77080
10/10/18,78620
10/10/19,80170
10/10/20,81640
10/10/21,81480
10/10/22,80700
10/10/25,80510
10/10/26,80970
10/10/27,81920
10/10/28,83500
10/10/29,82380
10/11/1,82600
10/11/2,83240
10/11/3,83140
10/11/4,85070
10/11/5,87460
10/11/8,86500
10/11/9,85150
10/11/10,85490
10/11/11,85740
10/11/12,84780
10/11/15,85490
10/11/16,84410
10/11/17,84300
10/11/18,85560
10/11/19,85210
10/11/22,82340
10/11/23,80660
10/11/24,81930
10/11/26,80890
10/11/29,81430
10/11/30,79830
10/12/1,81010
10/12/2,83080
10/12/3,82980
10/12/6,83150
10/12/7,82610
10/12/8,84940
10/12/9,85100
10/12/10,86130
10/12/13,86650
10/12/14,85550
10/12/15,84460
10/12/16,84080
10/12/17,83860
10/12/20,84890
10/12/21,86010
10/12/22,86710
10/12/23,85680
10/12/27,86820
10/12/28,86500
10/12/29,85700
10/12/30,85700
10/12/31,85350
11/1/3,87830
11/1/4,87840
11/1/5,88310
11/1/6,87400
11/1/7,86630
11/1/10,86160
11/1/11,85960
11/1/12,87130
11/1/13,87080
11/1/14,88820
11/1/18,88660
11/1/19,84500
11/1/20,84090
11/1/21,84350
11/1/24,84400
11/1/25,82210
11/1/26,81870
11/1/27,83250
11/1/28,82100
11/1/31,83040
11/2/1,83910
11/2/2,83770
11/2/3,83560
11/2/4,83660
11/2/7,84820
11/2/8,85540
11/2/9,84260
11/2/10,83920
11/2/11,86750
11/2/14,87200
11/2/15,87400
11/2/16,87870
11/2/17,87010
11/2/18,87470
11/2/22,84810
11/2/23,84890
11/2/24,85070
11/2/25,85950
11/2/28,85250
11/3/1,83960
11/3/2,84160
11/3/3,85620
11/3/4,83800
11/3/7,82440
11/3/8,83560
11/3/9,84100
11/3/10,83020
11/3/11,83240
11/3/14,82070
11/3/15,81460
11/3/16,79970
11/3/17,80680
11/3/18,82860
11/3/21,82990
11/3/22,83290
11/3/23,82640
11/3/24,82840
11/3/25,81830
11/3/28,81060
11/3/29,82090
11/3/30,82400
11/3/31,82140
11/4/1,82990
11/4/4,82300
11/4/5,82300
11/4/6,83850
11/4/7,84110
11/4/8,83360
11/4/11,83630
11/4/12,83080
11/4/13,82950
11/4/14,80690
11/4/15,80340
11/4/18,79650
11/4/19,78650
11/4/20,79090
11/4/21,79480
11/4/25,78790
11/4/26,79350
11/4/27,79140
11/4/28,77970
11/4/29,78180
11/5/2,78330
11/5/3,78630
11/5/4,78450
11/5/5,77870
11/5/6,77710
11/5/9,77200
11/5/10,77870
11/5/11,76560
11/5/12,73910
11/5/13,73240
11/5/16,72790
11/5/17,72900
11/5/18,72920
11/5/19,72140
11/5/20,69890
11/5/23,70330
11/5/24,70590
11/5/25,70540
11/5/26,70550
11/5/27,71790
11/5/31,72860
11/6/1,70500
11/6/2,69570
11/6/3,70070
11/6/6,69320
11/6/7,68850
11/6/8,68130
11/6/9,69130
11/6/10,70370
11/6/13,71200
11/6/14,70980
11/6/15,69820
11/6/16,70460
11/6/17,71050
11/6/20,69970
11/6/21,70390
11/6/22,69650
11/6/23,68530
11/6/24,67780
11/6/27,67670
11/6/28,66920
11/6/29,68620
11/6/30,67590
11/7/1,69400
11/7/5,68310
11/7/6,68000
11/7/7,68570
11/7/8,68090
11/7/11,67050
11/7/12,66180
11/7/13,65980
11/7/14,65970
11/7/15,66100
11/7/18,65680
11/7/19,65250
11/7/20,67420
11/7/21,68860
11/7/22,68810
11/7/25,69500
11/7/26,69880
11/7/27,68420
11/7/28,68990
11/7/29,68270
11/8/1,67850
11/8/2,66380
11/8/3,66810
11/8/4,63850
11/8/5,63320
11/8/8,59510
11/8/9,62080
11/8/10,55810
11/8/11,59730
11/8/12,58910
11/8/15,60260
11/8/16,59110
11/8/17,59300
11/8/18,57230
11/8/19,56530
11/8/22,53870
11/8/23,54050
11/8/24,55790
11/8/25,55560
11/8/26,56520
11/8/29,58710
11/8/30,58260
11/8/31,58780
11/9/1,56730
11/9/2,54150
11/9/6,52890
11/9/7,54800
11/9/8,53000
11/9/9,51720
11/9/12,52060
11/9/13,52650
11/9/14,52880
11/9/15,54610
11/9/16,54370
11/9/19,53010
11/9/20,51900
11/9/21,49500
11/9/22,47530
11/9/23,48140
11/9/26,50140
11/9/27,50350
11/9/28,48720
11/9/29,50510
11/9/30,46580
11/10/3,44380
11/10/4,46590
